example_id	message	distr1	distr2	target
-4250171929580511614	it has spike with purple color~~~	83c7813c-df64-3588-6c97-b21c399290b1.png	adaa97d6-e864-fb3e-80bd-74dd4c317709.png	3a2bc4dd-fdad-01e0-0510-d77d2ac4b5e8.png
-1434203200036720330	it has both purple and orange color~~~	17ecfb15-f2d4-2a75-d8f9-5c86585037cc.png	600db56c-184b-6da3-8625-d88aa044d656.png	74e56fd8-6fe4-d56b-96ae-631751d8368c.png
8824228998743984997	only orange color in body~~~	8273d9e8-c39d-f38c-4aab-50b8cc09bb17.png	e0e20d38-2825-75f6-5714-08c3322f1b55.png	c5981768-6937-8d27-215d-55bf71ec61bb.png
-8193098004521088267	its like a blue color~~~	28fc26fe-638b-c58d-d458-ae8eeae21652.png	76412984-1f14-3e38-c0d2-e1f43cb0585e.png	52016e8e-2b0c-22e0-1559-69624ca615b3.png
-580750547102610100	its like only purple ~~~	563446d3-b3e9-2861-f73e-53226bc8e6af.png	85896d93-7843-7dce-7b5a-c734d706b64f.png	5733128e-e104-f703-d80b-e9928dd6739e.png
-4225854317092983528	it has less orange in body~~~	af344d73-9544-f00c-21b5-be0ee212c022.png	160ac63f-0362-87e0-2f97-5f6db3105bfc.png	cea5d243-ec61-be97-e340-532ed8dd56ad.png
-7460104044335162664	it has spike and blue color in wings~~~	691461c7-171e-82b3-eeab-bad8d919571b.png	dcd1e679-09de-a89a-7fe8-8867bb1d0142.png	2ec75c4a-6949-a71e-1ae9-e0c2196c241f.png
8653039328930040925	orange and blue	c6c13f8d-437f-182e-a5d7-a49caa1278b7.png	9909daa2-e857-bafb-3f95-15d9057b6762.png	c10907be-9c1d-4a98-55be-9d55f669cbd9.png
6438209857489775413	only orange and purple~~~	a8258332-45e6-6159-a4d0-e2bdc1fa47ee.png	6b851fd9-157c-ef9c-8fb5-fe1c5d033a6b.png	e0e9c743-bbdc-8035-771b-9757f65e4dd3.png
1722361460440808954	it has combination of color~~~	54465162-a050-f6eb-fb01-ddfe11324122.png	53c0c52e-1ff2-d25d-eca7-bcaa063c67d2.png	5a5df101-dda8-b2fe-fcc5-476aee56220e.png
-1768147311505841807	fully orange color in body~~~	f631658a-41f0-b48c-61d3-15555d75f36d.png	c384c168-80bf-dca5-dfb5-6bc018bce0dd.png	a0431215-47d1-e94e-a9d4-8cddc8c331f9.png
-4469667203987148551	both blue and green~~~	994f1d58-eba0-66f2-9d13-5f93375d0d0f.png	e3dfce7d-d45b-23b5-81a0-11980d8671fc.png	3628880e-0a2c-c8d3-47ea-016bfb0cddd0.png
4895815526460251243	purple and orange ~~~	7ef30af9-a034-82d9-3307-d28f464c0a8a.png	8a941d13-4cde-9c23-2433-b1b6048a387f.png	fb821ffb-465c-bbfe-691a-afceeceeae1d.png
-2960759161527173844	only purple ~~~	f8bf246a-1bce-8edd-d8ac-8602fbdf494d.png	cf01525b-e477-a54a-4777-bf33636caa5c.png	953501aa-4627-1b4c-acce-2cf8a3260807.png
8499634753539107389	orange and violet	eff0b7ae-243c-2120-dce8-33cb7d29417c.png	b2199584-b8f9-3b25-601c-7374061bed1c.png	4f6b0338-a87a-2ade-f769-c73db280f968.png
