stim_num	teacher_label	true_label	gameid	rule_idx	student_label	messageType	text	id
0	False	False	7790-7df05fcf-2ff4-4403-8b14-97dc2780edb0	8	False	I	this specie has the stems in colors , range , purple, green and light blue	b6b18787-e486-c770-f1a6-c89d52cbdda4.png
0	False	False	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	8	False	I	so these looks like little trees and the ones we click on are the ones with little purple berries in the trees regardless of everything else, the correct ones have little berries (they look like two little circles next to each other) in the trees all the trees have berries, but we click on the ones with the purple berries	b6b18787-e486-c770-f1a6-c89d52cbdda4.png
0	False	False	9501-2041776c-7f93-4e4a-9122-d367e0964183	8	False	I	Purple berries were what they all had except one, which had green berries orange leaves and a blue body	b6b18787-e486-c770-f1a6-c89d52cbdda4.png
0	False	False	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	8	False	I	A lot of rules for this one the correct species might have no leaves on the tree if NO leaves it has a green or red trunk if it has white leaves it must have an ORANGE or RED trunk red leaves must have WHITE trunk blue leaves must have WHITE trunk purple leaves must have PURPLE trunk green leaves must have GREEN or PURPLE trunk that's the end of the rules.	b6b18787-e486-c770-f1a6-c89d52cbdda4.png
0	False	False	5969-097b50a2-fe24-4f58-9dd7-075741df6fab	8	False	I	green trunks and purple berries, not sure what else	b6b18787-e486-c770-f1a6-c89d52cbdda4.png
0	False	False	7691-81a6c91c-659c-4fcb-8373-bbf90614b486	8	False	I	red trunks, purple trunks, purple balls 	b6b18787-e486-c770-f1a6-c89d52cbdda4.png
0	False	False	2696-91598059-fd51-4c5b-a05d-4e1a231ea54e	8	False	I	if the little dots are purple it's a morseth, i guess you could call them berries idk light purple dots	b6b18787-e486-c770-f1a6-c89d52cbdda4.png
0	False	False	6645-2af7fe33-806c-49a6-a044-d78d424176b7	8	False	I	purple berries is de wae	b6b18787-e486-c770-f1a6-c89d52cbdda4.png
1	False	False	7790-7df05fcf-2ff4-4403-8b14-97dc2780edb0	8	False	I	this specie has the stems in colors , range , purple, green and light blue	9c4da814-fbe0-9a5f-9267-effaf08da1bb.png
1	False	False	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	8	False	I	so these looks like little trees and the ones we click on are the ones with little purple berries in the trees regardless of everything else, the correct ones have little berries (they look like two little circles next to each other) in the trees all the trees have berries, but we click on the ones with the purple berries	9c4da814-fbe0-9a5f-9267-effaf08da1bb.png
1	False	False	9501-2041776c-7f93-4e4a-9122-d367e0964183	8	False	I	Purple berries were what they all had except one, which had green berries orange leaves and a blue body	9c4da814-fbe0-9a5f-9267-effaf08da1bb.png
1	False	False	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	8	False	I	A lot of rules for this one the correct species might have no leaves on the tree if NO leaves it has a green or red trunk if it has white leaves it must have an ORANGE or RED trunk red leaves must have WHITE trunk blue leaves must have WHITE trunk purple leaves must have PURPLE trunk green leaves must have GREEN or PURPLE trunk that's the end of the rules.	9c4da814-fbe0-9a5f-9267-effaf08da1bb.png
1	False	False	5969-097b50a2-fe24-4f58-9dd7-075741df6fab	8	False	I	green trunks and purple berries, not sure what else	9c4da814-fbe0-9a5f-9267-effaf08da1bb.png
1	False	False	7691-81a6c91c-659c-4fcb-8373-bbf90614b486	8	False	I	red trunks, purple trunks, purple balls 	9c4da814-fbe0-9a5f-9267-effaf08da1bb.png
1	False	False	2696-91598059-fd51-4c5b-a05d-4e1a231ea54e	8	False	I	if the little dots are purple it's a morseth, i guess you could call them berries idk light purple dots	9c4da814-fbe0-9a5f-9267-effaf08da1bb.png
1	False	False	6645-2af7fe33-806c-49a6-a044-d78d424176b7	8	False	I	purple berries is de wae	9c4da814-fbe0-9a5f-9267-effaf08da1bb.png
2	False	False	7790-7df05fcf-2ff4-4403-8b14-97dc2780edb0	8	False	I	this specie has the stems in colors , range , purple, green and light blue	1704d94d-6ac5-5a8a-b267-729748f55fff.png
2	False	False	3292-849c8108-f161-4d50-9c85-6f1d4be1f645	8	False	I	so these looks like little trees and the ones we click on are the ones with little purple berries in the trees regardless of everything else, the correct ones have little berries (they look like two little circles next to each other) in the trees all the trees have berries, but we click on the ones with the purple berries	1704d94d-6ac5-5a8a-b267-729748f55fff.png
2	False	False	9501-2041776c-7f93-4e4a-9122-d367e0964183	8	False	I	Purple berries were what they all had except one, which had green berries orange leaves and a blue body	1704d94d-6ac5-5a8a-b267-729748f55fff.png
2	False	False	9211-ba72bfd8-40d4-4bc1-9ff6-5879cb2c1d46	8	False	I	A lot of rules for this one the correct species might have no leaves on the tree if NO leaves it has a green or red trunk if it has white leaves it must have an ORANGE or RED trunk red leaves must have WHITE trunk blue leaves must have WHITE trunk purple leaves must have PURPLE trunk green leaves must have GREEN or PURPLE trunk that's the end of the rules.	1704d94d-6ac5-5a8a-b267-729748f55fff.png
2	False	False	5969-097b50a2-fe24-4f58-9dd7-075741df6fab	8	False	I	green trunks and purple berries, not sure what else	1704d94d-6ac5-5a8a-b267-729748f55fff.png
2	False	False	7691-81a6c91c-659c-4fcb-8373-bbf90614b486	8	False	I	red trunks, purple trunks, purple balls 	1704d94d-6ac5-5a8a-b267-729748f55fff.png
2	False	False	2696-91598059-fd51-4c5b-a05d-4e1a231ea54e	8	False	I	if the little dots are purple it's a morseth, i guess you could call them berries idk light purple dots	1704d94d-6ac5-5a8a-b267-729748f55fff.png
2	False	False	6645-2af7fe33-806c-49a6-a044-d78d424176b7	8	False	I	purple berries is de wae	1704d94d-6ac5-5a8a-b267-729748f55fff.png
3	True	False	7790-7df05fcf-2ff4-4403-8b14-97dc2780edb0	8	False	I	this specie has the stems in colors , range , purple, green and light blue	83b03585-3d30-fc9f-3a5b-5549510630f4.png
